name,cid,inchi
Filbertone,7567850.0,"InChI=1S/C8H14O/c1-4-6-8(9)7(3)5-2/h4,6-7H,5H2,1-3H3/b6-4+/t7-/m0/s1"
Formaldehyde,712.0,InChI=1S/CH2O/c1-2/h1H2
Galaxolide,91497.0,"InChI=1S/C18H26O/c1-11-9-19-10-13-7-15-16(8-14(11)13)18(5,6)12(2)17(15,3)4/h7-8,11-12H,9-10H2,1-6H3"
Geraniol,637566.0,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+"
Geranyl acetate,1549026.0,"InChI=1S/C12H20O2/c1-10(2)6-5-7-11(3)8-9-14-12(4)13/h6,8H,5,7,9H2,1-4H3/b11-8+"
Gluconolactone,7027.0,"InChI=1S/C6H10O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-5,7-10H,1H2/t2-,3-,4+,5-/m1/s1"
Glutaraldehyde,3485.0,"InChI=1S/C5H8O2/c6-4-2-1-3-5-7/h4-5H,1-3H2"
Glycerol,753.0,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2"
Glyceryl stearate,24699.0,"InChI=1S/C21H42O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h20,22-23H,2-19H2,1H3"
Glycolic acid,757.0,"InChI=1S/C2H4O3/c3-1-2(4)5/h3H,1H2,(H,4,5)"
Grapefruit mercaptan,6427135.0,"InChI=1S/C10H18S/c1-8-4-6-9(7-5-8)10(2,3)11/h4,9,11H,5-7H2,1-3H3"
Guanidine carbonate,11650.0,"InChI=1S/2CH5N3.CH2O3/c3*2-1(3)4/h2*(H5,2,3,4);(H2,2,3,4)"
Helional,64805.0,"InChI=1S/C11H12O3/c1-8(6-12)4-9-2-3-10-11(5-9)14-7-13-10/h2-3,5-6,8H,4,7H2,1H3"
Heptyl acetate,8159.0,"InChI=1S/C9H18O2/c1-3-4-5-6-7-8-11-9(2)10/h3-8H2,1-2H3"
Heptylparaben,14138.0,"InChI=1S/C14H20O3/c1-2-3-4-5-6-11-17-14(16)12-7-9-13(15)10-8-12/h7-10,15H,2-6,11H2,1H3"
Hexamidine diisethionate,3080571.0,"InChI=1S/C20H26N4O2.2C2H6O4S/c21-19(22)15-5-9-17(10-6-15)25-13-3-1-2-4-14-26-18-11-7-16(8-12-18)20(23)24;2*3-1-2-7(4,5)6/h5-12H,1-4,13-14H2,(H3,21,22)(H3,23,24);2*3H,1-2H2,(H,4,5,6)"
Homosalate,8362.0,"InChI=1S/C16H22O3/c1-11-8-12(10-16(2,3)9-11)19-15(18)13-6-4-5-7-14(13)17/h4-7,11-12,17H,8-10H2,1-3H3"
Hydrogen peroxide,784.0,InChI=1S/H2O2/c1-2/h1-2H
Hydroquinone,785.0,"InChI=1S/C6H6O2/c7-5-1-2-6(8)4-3-5/h1-4,7-8H"
Hydroxycitronellal,7888.0,"InChI=1S/C10H20O2/c1-9(6-8-11)5-4-7-10(2,3)12/h8-9,12H,4-7H2,1-3H3"
Hydroxyisohexyl 3-cyclohexene carboxaldehyde,91604.0,"InChI=1S/C13H22O2/c1-13(2,15)9-3-4-11-5-7-12(10-14)8-6-11/h5,10,12,15H,3-4,6-9H2,1-2H3"
Imidazolidinyl urea,38258.0,"InChI=1S/C11H16N8O8/c20-2-18-4(6(22)16-10(18)26)14-8(24)12-1-13-9(25)15-5-7(23)17-11(27)19(5)3-21/h4-5,20-21H,1-3H2,(H2,12,14,24)(H2,13,15,25)(H,16,22,26)(H,17,23,27)"
Indigo carmine,2723854.0,"InChI=1S/C16H10N2O8S2.2Na/c19-15-9-5-7(27(21,22)23)1-3-11(9)17-13(15)14-16(20)10-6-8(28(24,25)26)2-4-12(10)18-14;;/h1-6,17,19H,(H,21,22,23)(H,24,25,26);;/q;2*+1/p-2"
Indole,798.0,"InChI=1S/C8H7N/c1-2-4-8-7(3-1)5-6-9-8/h1-6,9H"
Iodopropynyl butylcarbamate,62097.0,"InChI=1S/C8H12INO2/c1-2-3-6-10-8(11)12-7-4-5-9/h2-3,6-7H2,1H3,(H,10,11)"
Iron oxide-hydroxide,,
"Iron(II,III) oxide",,
Iron(III) oxide,518696.0,InChI=1S/2Fe.3O
Iscotrizinol,9810816.0,"InChI=1S/C44H59N7O5/c1-8-12-14-30(10-3)28-55-39(53)33-18-24-36(25-19-33)46-42-48-41(45-35-22-16-32(17-23-35)38(52)51-44(5,6)7)49-43(50-42)47-37-26-20-34(21-27-37)40(54)56-29-31(11-4)15-13-9-2/h16-27,30-31H,8-15,28-29H2,1-7H3,(H,51,52)(H3,45,46,47,48,49,50)"
Isobornyl cyclohexanol,103005.0,"InChI=1S/C16H28O/c1-10-14-8-12(16(10,2)3)9-15(14)11-5-4-6-13(17)7-11/h10-15,17H,4-9H2,1-3H3"
Isopropyl alcohol,3776.0,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3"
Isopropyl myristate,8042.0,"InChI=1S/C17H34O2/c1-4-5-6-7-8-9-10-11-12-13-14-15-17(18)19-16(2)3/h16H,4-15H2,1-3H3"
Isopropyl palmitate,8907.0,"InChI=1S/C19H38O2/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-19(20)21-18(2)3/h18H,4-17H2,1-3H3"
Isopropyl salicylate,11838.0,"InChI=1S/C10H12O3/c1-7(2)13-10(12)8-5-3-4-6-9(8)11/h3-7,11H,1-2H3"
Isopropylparaben,20161.0,"InChI=1S/C10H12O3/c1-7(2)13-10(12)8-3-5-9(11)6-4-8/h3-7,11H,1-2H3"
Isovanillin,12127.0,"InChI=1S/C8H8O3/c1-11-8-3-2-6(5-9)4-7(8)10/h2-5,10H,1H3"
Jasminaldehyde,1712058.0,"InChI=1S/C14H18O/c1-2-3-5-10-14(12-15)11-13-8-6-4-7-9-13/h4,6-9,11-12H,2-3,5,10H2,1H3/b14-11-"
Kojic acid,3840.0,"InChI=1S/C6H6O4/c7-2-4-1-5(8)6(9)3-10-4/h1,3,7,9H,2H2"
Lactic acid,612.0,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)"
Lactobionic acid,7314.0,"InChI=1S/C12H22O12/c13-1-3(15)10(7(18)8(19)11(21)22)24-12-9(20)6(17)5(16)4(2-14)23-12/h3-10,12-20H,1-2H2,(H,21,22)/t3-,4-,5+,6+,7-,8-,9-,10-,12+/m1/s1"
Lauric acid,3893.0,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)"
Lauryl glucoside,10893439.0,"InChI=1S/C18H36O6/c1-2-3-4-5-6-7-8-9-10-11-12-23-18-17(22)16(21)15(20)14(13-19)24-18/h14-22H,2-13H2,1H3/t14-,15-,16+,17-,18?/m1/s1"
Lead(II) acetate,9317.0,"InChI=1S/2C2H4O2.Pb/c2*1-2(3)4;/h2*1H3,(H,3,4);/q;;+2/p-2"
Linalool,6549.0,"InChI=1S/C10H18O/c1-5-10(4,11)8-6-7-9(2)3/h5,7,11H,1,6,8H2,2-4H3"
Linoleic acid,5280450.0,"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-"
Lithium hydroxide,3939.0,InChI=1S/Li.H2O/h;1H2/q+1;/p-1
Magnesium sulfate,24083.0,"InChI=1S/Mg.H2O4S/c;1-5(2,3)4/h;(H2,1,2,3,4)/q+2;/p-2"
Malic acid,525.0,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)"
Mandelic acid,1292.0,"InChI=1S/C8H8O3/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5,7,9H,(H,10,11)"
Manganese violet,160915.0,"InChI=1S/Mn.H3N.H4O7P2/c;;1-8(2,3)7-9(4,5)6/h;1H3;(H2,1,2,3)(H2,4,5,6)/q+3;;/p-3"
Menthone,26447.0,"InChI=1S/C10H18O/c1-7(2)9-5-4-8(3)6-10(9)11/h7-9H,4-6H2,1-3H3/t8-,9+/m1/s1"
Menthyl anthranilate,8633.0,"InChI=1S/C17H25NO2/c1-11(2)13-9-8-12(3)10-16(13)20-17(19)14-6-4-5-7-15(14)18/h4-7,11-13,16H,8-10,18H2,1-3H3"
Methoxypropylamino cyclohexenylidene ethoxyethylcyanoacetate,,
Methyl benzoate,7150.0,"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3"
Methyl butyrate,12180.0,"InChI=1S/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3"
Methyl dihydrojasmonate,102861.0,"InChI=1S/C13H22O3/c1-3-4-5-6-11-10(7-8-12(11)14)9-13(15)16-2/h10-11H,3-9H2,1-2H3"
Methyl isobutyrate,11039.0,"InChI=1S/C5H10O2/c1-4(2)5(6)7-3/h4H,1-3H3"
Methyl pivalate,69027.0,"InChI=1S/C6H12O2/c1-6(2,3)5(7)8-4/h1-4H3"
Methylchloroisothiazolinone,33344.0,"InChI=1S/C4H4ClNOS/c1-6-4(7)2-3(5)8-6/h2H,1H3"
Methylisothiazolinone,39800.0,"InChI=1S/C4H5NOS/c1-5-4(6)2-3-7-5/h2-3H,1H3"
Methylparaben,7456.0,"InChI=1S/C8H8O3/c1-11-8(10)6-2-4-7(9)5-3-6/h2-5,9H,1H3"
Mexenone,71645.0,"InChI=1S/C15H14O3/c1-10-3-5-11(6-4-10)15(17)13-8-7-12(18-2)9-14(13)16/h3-9,16H,1-2H3"
Muscone,10947.0,"InChI=1S/C16H30O/c1-15-12-10-8-6-4-2-3-5-7-9-11-13-16(17)14-15/h15H,2-14H2,1H3"
Musk xylene,62329.0,"InChI=1S/C12H15N3O6/c1-6-9(13(16)17)7(2)11(15(20)21)8(12(3,4)5)10(6)14(18)19/h1-5H3"
Myrcene,31253.0,"InChI=1S/C10H16/c1-5-10(4)8-6-7-9(2)3/h5,7H,1,4,6,8H2,2-3H3"
Nerol,643820.0,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7-"
Nerolidol,8888.0,"InChI=1S/C15H26O/c1-6-15(5,16)12-8-11-14(4)10-7-9-13(2)3/h6,9,11,16H,1,7-8,10,12H2,2-5H3"
Niacinamide,936.0,"InChI=1S/C6H6N2O/c7-6(9)5-2-1-3-8-4-5/h1-4H,(H2,7,9)"
Octamethylcyclotetrasiloxane,11169.0,"InChI=1S/C8H24O4Si4/c1-13(2)9-14(3,4)11-16(7,8)12-15(5,6)10-13/h1-8H3"
Octocrylene,22571.0,"InChI=1S/C24H27NO2/c1-3-5-12-19(4-2)18-27-24(26)22(17-25)23(20-13-8-6-9-14-20)21-15-10-7-11-16-21/h6-11,13-16,19H,3-5,12,18H2,1-2H3"
Octyl methoxycinnamate,5355130.0,"InChI=1S/C18H26O3/c1-4-6-7-15(5-2)14-21-18(19)13-10-16-8-11-17(20-3)12-9-16/h8-13,15H,4-7,14H2,1-3H3/b13-10+"
Oleic acid,445639.0,"InChI=1S/C18H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H,19,20)/b10-9-"
Ortho-Vanillin,8991.0,"InChI=1S/C8H8O3/c1-11-7-4-2-3-6(5-9)8(7)10/h2-5,10H,1H3"
Oxybenzone,4632.0,"InChI=1S/C14H12O3/c1-17-11-7-8-12(13(15)9-11)14(16)10-5-3-2-4-6-10/h2-9,15H,1H3"
Padimate A,26890.0,"InChI=1S/C14H21NO2/c1-4-5-6-11-17-14(16)12-7-9-13(10-8-12)15(2)3/h7-10H,4-6,11H2,1-3H3"
Padimate O,30541.0,"InChI=1S/C17H27NO2/c1-5-7-8-14(6-2)13-20-17(19)15-9-11-16(12-10-15)18(3)4/h9-12,14H,5-8,13H2,1-4H3"
Palmitic acid,985.0,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)"
Palmitoyl pentapeptide-4,9897237.0,"InChI=1S/C39H75N7O10/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-23-32(50)42-29(21-17-19-24-40)36(52)45-34(28(3)49)38(54)46-33(27(2)48)37(53)43-30(22-18-20-25-41)35(51)44-31(26-47)39(55)56/h27-31,33-34,47-49H,4-26,40-41H2,1-3H3,(H,42,50)(H,43,53)(H,44,51)(H,45,52)(H,46,54)(H,55,56)/t27-,28-,29+,30+,31+,33+,34+/m1/s1"
Panthenol,4678.0,"InChI=1S/C9H19NO4/c1-9(2,6-12)7(13)8(14)10-4-3-5-11/h7,11-13H,3-6H2,1-2H3,(H,10,14)"
Patchoulol,10955174.0,"InChI=1S/C15H26O/c1-10-5-8-15(16)13(2,3)11-6-7-14(15,4)12(10)9-11/h10-12,16H,5-9H2,1-4H3/t10-,11+,12-,14-,15+/m0/s1"
Perillaldehyde,16441.0,"InChI=1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3,7,10H,1,4-6H2,2H3"
Phenethyl alcohol,6054.0,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2"
Phenoxyethanol,31236.0,"InChI=1S/C8H10O2/c9-6-7-10-8-4-2-1-3-5-8/h1-5,9H,6-7H2"
Phenylmercuric acetate,16682730.0,"InChI=1S/C6H5.C2H4O2.Hg/c1-2-4-6-5-3-1;1-2(3)4;/h1-5H;1H3,(H,3,4);/q;;+1/p-1"
Pomarose,11030204.0,"InChI=1S/C11H18O/c1-6-7-11(12)10(5)9(4)8(2)3/h6-8H,1-5H3/b7-6+,10-9-"
Potassium sorbate,23676745.0,"InChI=1S/C6H8O2.K/c1-2-3-4-5-6(7)8;/h2-5H,1H3,(H,7,8);/q;+1/p-1/b3-2+,5-4+;"
Potassium stearate,23673840.0,"InChI=1S/C18H36O2.K/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2-17H2,1H3,(H,19,20);/q;+1/p-1"
Propylene glycol,1030.0,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3"
Propylparaben,7175.0,"InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3"
Pulegone,442495.0,"InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)6-10(9)11/h8H,4-6H2,1-3H3/t8-/m1/s1"
Quaternium-15,6433396.0,"InChI=1S/C9H16ClN4.ClH/c10-2-1-3-14-7-11-4-12(8-14)6-13(5-11)9-14;/h1-2H,3-9H2;1H/q+1;/p-1/b2-1+;"
Raspberry ketone,21648.0,"InChI=1S/C10H12O2/c1-8(11)2-3-9-4-6-10(12)7-5-9/h4-7,12H,2-3H2,1H3"
Resorcinol,5054.0,"InChI=1S/C6H6O2/c7-5-2-1-3-6(8)4-5/h1-4,7-8H"
Resveratrol,445154.0,"InChI=1S/C14H12O3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17H/b2-1+"
Retinal,638015.0,"InChI=1S/C20H28O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,15H,7,10,14H2,1-5H3/b9-6+,12-11+,16-8+,17-13+"
Retinol,445354.0,"InChI=1S/C20H30O/c1-16(8-6-9-17(2)13-15-21)11-12-19-18(3)10-7-14-20(19,4)5/h6,8-9,11-13,21H,7,10,14-15H2,1-5H3/b9-6+,12-11+,16-8+,17-13+"
Retinyl palmitate,5280531.0,"InChI=1S/C36H60O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-25-35(37)38-30-28-32(3)23-20-22-31(2)26-27-34-33(4)24-21-29-36(34,5)6/h20,22-23,26-28H,7-19,21,24-25,29-30H2,1-6H3/b23-20+,27-26+,31-22+,32-28+"
Safrole,5144.0,"InChI=1S/C10H10O2/c1-2-3-8-4-5-9-10(6-8)12-7-11-9/h2,4-6H,1,3,7H2"
Salicylic acid,338.0,"InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)"
Sandalore,103212.0,"InChI=1S/C14H26O/c1-10(12(3)15)6-8-13-9-7-11(2)14(13,4)5/h7,10,12-13,15H,6,8-9H2,1-5H3"
Selenium disulfide,24087.0,InChI=1S/S2Se/c1-3-2
Silver nitrate,24470.0,InChI=1S/Ag.NO3/c;2-1(3)4/q+1;-1
Skatole,6736.0,"InChI=1S/C9H9N/c1-7-6-10-9-5-3-2-4-8(7)9/h2-6,10H,1H3"
Sodium PCA,23666346.0,"InChI=1S/C5H7NO3.Na/c7-4-2-1-3(6-4)5(8)9;/h3H,1-2H2,(H,6,7)(H,8,9);/q;+1/p-1"
Sodium benzoate,517055.0,"InChI=1S/C7H6O2.Na/c8-7(9)6-4-2-1-3-5-6;/h1-5H,(H,8,9);/q;+1/p-1"
Sodium bicarbonate,516892.0,"InChI=1S/CH2O3.Na/c2-1(3)4;/h(H2,2,3,4);/q;+1/p-1"
Sodium chloride,5234.0,InChI=1S/ClH.Na/h1H;/q;+1/p-1
Sodium dehydroacetate,23681141.0,"InChI=1S/C8H8O4.Na/c1-4-3-6(10)7(5(2)9)8(11)12-4;/h3,10H,1-2H3;/q;+1/p-1"
Sodium hydroxide,14798.0,InChI=1S/Na.H2O/h;1H2/q+1;/p-1
Sodium hydroxymethylglycinate,23664641.0,"InChI=1S/C3H7NO3.Na/c5-2-4-1-3(6)7;/h4-5H,1-2H2,(H,6,7);/q;+1/p-1"
Sodium lauroyl sarcosinate,23668817.0,"InChI=1S/C15H29NO3.Na/c1-3-4-5-6-7-8-9-10-11-12-14(17)16(2)13-15(18)19;/h3-13H2,1-2H3,(H,18,19);/q;+1/p-1"
Sodium lauryl sulfate,3423265.0,"InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15;/h2-12H2,1H3,(H,13,14,15);/q;+1/p-1"
Sodium stearate,2724691.0,"InChI=1S/C18H36O2.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20;/h2-17H2,1H3,(H,19,20);/q;+1/p-1"
Sodium thioglycolate,23690444.0,"InChI=1S/C2H4O2S.Na/c3-2(4)1-5;/h5H,1H2,(H,3,4);/q;+1/p-1"
Sorbic acid,643460.0,"InChI=1S/C6H8O2/c1-2-3-4-5-6(7)8/h2-5H,1H3,(H,7,8)/b3-2+,5-4+"
Sorbitol,5780.0,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6-/m1/s1"
Squalane,8089.0,"InChI=1S/C30H62/c1-25(2)15-11-19-29(7)23-13-21-27(5)17-9-10-18-28(6)22-14-24-30(8)20-12-16-26(3)4/h25-30H,9-24H2,1-8H3"
Squalene,638072.0,"InChI=1S/C30H50/c1-25(2)15-11-19-29(7)23-13-21-27(5)17-9-10-18-28(6)22-14-24-30(8)20-12-16-26(3)4/h15-18,23-24H,9-14,19-22H2,1-8H3/b27-17+,28-18+,29-23+,30-24+"
Stearalkonium chloride,31204.0,"InChI=1S/C27H50N.ClH/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22-25-28(2,3)26-27-23-20-19-21-24-27;/h19-21,23-24H,4-18,22,25-26H2,1-3H3;1H/q+1;/p-1"
Stearic acid,5281.0,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)"
Stearyl alcohol,8221.0,"InChI=1S/C18H38O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h19H,2-18H2,1H3"
Sulfur,5362487.0,InChI=1S/S
Sulisobenzone,19988.0,"InChI=1S/C14H12O6S/c1-20-12-8-11(15)10(7-13(12)21(17,18)19)14(16)9-5-3-2-4-6-9/h2-8,15H,1H3,(H,17,18,19)"
Sunset Yellow FCF,17730.0,"InChI=1S/C16H12N2O7S2.2Na/c19-15-8-1-10-9-13(27(23,24)25)6-7-14(10)16(15)18-17-11-2-4-12(5-3-11)26(20,21)22;;/h1-9,19H,(H,20,21,22)(H,23,24,25);;/q;2*+1/p-2"
Tartaric acid,444305.0,"InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/t1-,2-/m1/s1"
Tartrazine,164825.0,"InChI=1S/C16H12N4O9S2.3Na/c21-15-13(18-17-9-1-5-11(6-2-9)30(24,25)26)14(16(22)23)19-20(15)10-3-7-12(8-4-10)31(27,28)29;;;/h1-8,13H,(H,22,23)(H,24,25,26)(H,27,28,29);;;/q;3*+1/p-3"
Tetrasodium EDTA,6144.0,"InChI=1S/C10H16N2O8.4Na/c13-7(14)3-11(4-8(15)16)1-2-12(5-9(17)18)6-10(19)20;;;;/h1-6H2,(H,13,14)(H,15,16)(H,17,18)(H,19,20);;;;/q;4*+1/p-4"
Thimerosal,16684434.0,"InChI=1S/C7H6O2S.C2H5.Hg.Na/c8-7(9)5-3-1-2-4-6(5)10;1-2;;/h1-4,10H,(H,8,9);1H2,2H3;;/q;;2*+1/p-2"
Thujone,261491.0,"InChI=1S/C10H16O/c1-6(2)10-4-8(10)7(3)9(11)5-10/h6-8H,4-5H2,1-3H3/t7-,8-,10+/m1/s1"
Titanium dioxide,26042.0,InChI=1S/2O.Ti
Tocopheryl acetate,2117.0,"InChI=1S/C31H52O3/c1-21(2)13-10-14-22(3)15-11-16-23(4)17-12-19-31(9)20-18-28-26(7)29(33-27(8)32)24(5)25(6)30(28)34-31/h21-23H,10-20H2,1-9H3"
Toluene,1140.0,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
Tranexamic acid,5526.0,"InChI=1S/C8H15NO2/c9-5-6-1-3-7(4-2-6)8(10)11/h6-7H,1-5,9H2,(H,10,11)"
Trehalose,7427.0,"InChI=1S/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11-,12-/m1/s1"
Tretinoin,444795.0,"InChI=1S/C20H28O2/c1-15(8-6-9-16(2)14-19(21)22)11-12-18-17(3)10-7-13-20(18,4)5/h6,8-9,11-12,14H,7,10,13H2,1-5H3,(H,21,22)/b9-6+,12-11+,15-8+,16-14+"
Triclocarban,7547.0,"InChI=1S/C13H9Cl3N2O/c14-8-1-3-9(4-2-8)17-13(19)18-10-5-6-11(15)12(16)7-10/h1-7H,(H2,17,18,19)"
Triclosan,5564.0,"InChI=1S/C12H7Cl3O2/c13-7-1-3-11(9(15)5-7)17-12-4-2-8(14)6-10(12)16/h1-6,16H"
Triethanolamine salicylate,25213.0,"InChI=1S/C7H6O3.C6H15NO3/c8-6-4-2-1-3-5(6)7(9)10;8-4-1-7(2-5-9)3-6-10/h1-4,8H,(H,9,10);8-10H,1-6H2"
Triphenyl phosphate,8289.0,"InChI=1S/C18H15O4P/c19-23(20-16-10-4-1-5-11-16,21-17-12-6-2-7-13-17)22-18-14-8-3-9-15-18/h1-15H"
Tris-biphenyl triazine,11628027.0,InChI=1S/C39H27N3/c1-4-10-28(11-5-1)31-16-22-34(23-17-31)37-40-38(35-24-18-32(19-25-35)29-12-6-2-7-13-29)42-39(41-37)36-26-20-33(21-27-36)30-14-8-3-9-15-30/h1-27H
Umbelliferone,5281426.0,"InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H"
Urea,1176.0,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)"
Vanillin,1183.0,"InChI=1S/C8H8O3/c1-11-8-4-6(5-9)2-3-7(8)10/h2-5,10H,1H3"
Zinc oxide,14806.0,InChI=1S/O.Zn
Zinc pyrithione,26041.0,"InChI=1S/2C5H5NOS.Zn/c2*7-6-4-2-1-3-5(6)8;/h2*1-4,8H;/q;;+2/p-2"
Zinc ricinoleate,6437808.0,"InChI=1S/2C18H34O3.Zn/c2*1-2-3-4-11-14-17(19)15-12-9-7-5-6-8-10-13-16-18(20)21;/h2*9,12,17,19H,2-8,10-11,13-16H2,1H3,(H,20,21);/q;;+2/p-2/b2*12-9-;/t2*17-;/m11./s1"
p-Aminophenol,403.0,"InChI=1S/C6H7NO/c7-5-1-3-6(8)4-2-5/h1-4,8H,7H2"
"p-Menthane-3,8-diol",556998.0,"InChI=1S/C10H20O2/c1-7-4-5-8(9(11)6-7)10(2,3)12/h7-9,11-12H,4-6H2,1-3H3"
p-Phenylenediamine,7814.0,"InChI=1S/C6H8N2/c7-5-1-2-6(8)4-3-5/h1-4H,7-8H2"
